Date & Time,Route Number,Route Name,Start Location,End Location,Total Distance (km),Bus Type,Vehicle Number,Traffic Volume,Passenger Count,Bus Speed (km/h),Delay Time (minutes),Congestion Level,Accident Reported,Weather Conditions,Fuel Consumption (liters),Ticket Revenue (₹),Average Occupancy (%),Number of Stops,Duration (minutes)
2025-01-01 06:29:00,Route-782,Gandhinagar to Bhavnagar,Gandhinagar,Bhavnagar,162,Express,GJ-1-6315,121,56,45,24,High,Yes,Sunny,21.22,14390,97.05,7,88
2025-01-01 09:01:00,Route-730,Mehsana to Palanpur,Mehsana,Palanpur,200,Sleeper,GJ-11-2114,339,39,59,19,Medium,Yes,Foggy,13.35,2343,82.04,15,115
2025-01-01 08:44:00,Route-143,Gandhinagar to Bhavnagar,Gandhinagar,Bhavnagar,89,AC,GJ-6-4643,160,41,59,10,Medium,No,Cloudy,11.2,6868,81.58,18,206
2025-01-01 06:49:00,Route-390,Surat to Rajkot,Surat,Rajkot,86,Local,GJ-1-3678,86,28,53,9,Low,No,Foggy,11.3,8256,62.89,12,149
2025-01-01 07:56:00,Route-186,Anand to Nadiad,Anand,Nadiad,215,AC,GJ-16-7637,366,21,62,20,Low,No,Foggy,17.7,11813,66.28,13,110
2025-01-01 07:35:00,Route-736,Mehsana to Palanpur,Mehsana,Palanpur,125,Local,GJ-7-1366,58,51,71,0,High,No,Rainy,12.27,2366,86.53,18,100
2025-01-01 09:15:00,Route-146,Jamnagar to Junagadh,Jamnagar,Junagadh,210,Luxury,GJ-5-2260,460,57,75,14,Medium,No,Cloudy,12.23,11539,51.21,9,93
2025-01-01 09:07:00,Route-141,Anand to Nadiad,Anand,Nadiad,117,Local,GJ-16-2130,51,47,46,7,High,Yes,Rainy,16.58,12978,66.69,15,170
2025-01-01 08:08:00,Route-964,Surat to Rajkot,Surat,Rajkot,209,AC,GJ-10-7742,408,39,45,4,High,No,Sunny,23.36,7065,48.26,9,123
2025-01-01 07:58:00,Route-305,Mehsana to Palanpur,Mehsana,Palanpur,262,Local,GJ-15-8434,344,59,71,24,Medium,Yes,Cloudy,21.84,4172,42.35,15,196
2025-01-01 07:07:00,Route-906,Bhuj to Gandhidham,Bhuj,Gandhidham,270,Sleeper,GJ-2-9001,105,54,73,5,High,No,Cloudy,15.22,5688,90.09,6,149
2025-01-01 06:53:00,Route-916,Mehsana to Palanpur,Mehsana,Palanpur,198,AC,GJ-8-1957,322,39,45,27,High,Yes,Foggy,20.09,7021,88.75,12,234
2025-01-01 09:45:00,Route-606,Ahmedabad to Vadodara,Ahmedabad,Vadodara,89,Sleeper,GJ-9-4665,259,58,54,20,Low,No,Foggy,15.63,12695,64.92,12,100
2025-01-01 07:23:00,Route-366,Anand to Nadiad,Anand,Nadiad,68,Sleeper,GJ-10-7815,421,20,74,24,Medium,No,Foggy,20.91,14815,59.72,18,193
2025-01-01 08:48:00,Route-912,Gandhinagar to Bhavnagar,Gandhinagar,Bhavnagar,189,Sleeper,GJ-10-2229,63,33,40,17,High,Yes,Foggy,23.03,8464,70.8,19,232
2025-01-01 06:24:00,Route-916,Gandhinagar to Bhavnagar,Gandhinagar,Bhavnagar,132,Local,GJ-8-2961,265,38,41,20,Low,No,Sunny,18.96,14925,90.2,16,158
2025-01-01 10:44:00,Route-849,Anand to Nadiad,Anand,Nadiad,90,Local,GJ-6-5341,295,53,55,0,Medium,Yes,Foggy,14.98,12061,51.73,19,229
2025-01-01 11:00:00,Route-652,Jamnagar to Junagadh,Jamnagar,Junagadh,232,AC,GJ-16-1461,317,49,75,10,High,Yes,Foggy,18.48,8624,96.44,7,155
2025-01-01 09:19:00,Route-435,Porbandar to Veraval,Porbandar,Veraval,274,Sleeper,GJ-2-8435,130,26,62,17,Low,Yes,Cloudy,20.71,9446,46.57,14,166
2025-01-01 08:17:00,Route-424,Jamnagar to Junagadh,Jamnagar,Junagadh,179,AC,GJ-8-3434,489,27,44,30,High,No,Rainy,12.54,14980,86.83,15,78
2025-01-01 06:48:00,Route-427,Mehsana to Palanpur,Mehsana,Palanpur,201,Sleeper,GJ-16-5473,359,41,62,6,Low,Yes,Cloudy,18.5,14660,55.74,11,154
2025-01-01 10:07:00,Route-444,Jamnagar to Junagadh,Jamnagar,Junagadh,64,Luxury,GJ-6-8069,488,41,61,15,Medium,No,Foggy,16.38,12077,57.97,17,64
2025-01-01 07:42:00,Route-651,Surat to Rajkot,Surat,Rajkot,111,Sleeper,GJ-11-1652,487,44,74,27,High,No,Cloudy,16.7,5478,44.64,19,206
2025-01-01 08:56:00,Route-167,Anand to Nadiad,Anand,Nadiad,200,AC,GJ-12-8210,211,34,76,19,High,No,Foggy,22.06,14300,89.23,8,151
2025-01-01 09:07:00,Route-431,Porbandar to Veraval,Porbandar,Veraval,284,Local,GJ-15-5393,352,52,49,8,Medium,Yes,Rainy,22.39,14624,87.55,6,94
2025-01-01 09:06:00,Route-105,Mehsana to Palanpur,Mehsana,Palanpur,226,Luxury,GJ-1-5795,63,21,62,13,Low,Yes,Foggy,12.99,14486,65.04,19,108
2025-01-01 08:24:00,Route-822,Navsari to Valsad,Navsari,Valsad,268,Sleeper,GJ-12-6289,71,41,67,22,High,No,Rainy,14.46,3002,68.09,8,149
2025-01-01 10:35:00,Route-103,Jamnagar to Junagadh,Jamnagar,Junagadh,82,Luxury,GJ-4-7201,204,52,51,19,Low,No,Sunny,23.81,3753,95.66,11,154
2025-01-01 06:37:00,Route-481,Ahmedabad to Vadodara,Ahmedabad,Vadodara,245,Express,GJ-12-6359,184,35,40,17,High,No,Foggy,12.17,13107,56.03,17,139
2025-01-01 09:58:00,Route-571,Anand to Nadiad,Anand,Nadiad,210,Local,GJ-3-1304,370,38,78,7,Low,No,Cloudy,20.69,9840,85.84,13,205
2025-01-01 10:20:00,Route-623,Porbandar to Veraval,Porbandar,Veraval,181,Luxury,GJ-5-2122,263,26,73,19,High,No,Foggy,13.72,11883,52.34,11,135
2025-01-01 10:51:00,Route-489,Jamnagar to Junagadh,Jamnagar,Junagadh,138,AC,GJ-10-3332,230,29,58,22,Low,No,Foggy,23.21,8918,54.23,6,175
2025-01-01 10:41:00,Route-798,Porbandar to Veraval,Porbandar,Veraval,191,AC,GJ-14-1745,277,43,44,8,Low,No,Rainy,19.02,3237,80.49,6,149
2025-01-01 08:21:00,Route-962,Navsari to Valsad,Navsari,Valsad,241,Express,GJ-15-3377,281,22,43,5,Low,No,Foggy,17.68,9774,92.06,16,204
2025-01-01 06:32:00,Route-198,Navsari to Valsad,Navsari,Valsad,135,AC,GJ-11-2796,262,49,53,4,Low,Yes,Cloudy,23.15,5605,91.97,8,67
2025-01-01 10:42:00,Route-234,Surat to Rajkot,Surat,Rajkot,137,Express,GJ-11-1830,128,47,57,7,Medium,Yes,Foggy,17.49,5495,52.88,10,112
2025-01-01 10:19:00,Route-504,Bhuj to Gandhidham,Bhuj,Gandhidham,158,Sleeper,GJ-7-9474,200,40,78,23,Low,No,Sunny,16.57,9092,80.88,19,87
2025-01-01 07:34:00,Route-484,Surat to Rajkot,Surat,Rajkot,50,Luxury,GJ-14-8880,373,32,56,28,High,Yes,Rainy,16.65,6164,47.56,10,169
2025-01-01 10:57:00,Route-201,Amreli to Botad,Amreli,Botad,167,AC,GJ-5-9047,410,27,68,14,Low,Yes,Foggy,15.32,6713,56.69,7,162
2025-01-01 10:32:00,Route-554,Mehsana to Palanpur,Mehsana,Palanpur,124,Luxury,GJ-13-2132,228,21,68,12,Medium,Yes,Cloudy,17.68,14429,59.52,11,228
2025-01-01 08:45:00,Route-461,Amreli to Botad,Amreli,Botad,178,Luxury,GJ-3-9482,331,26,56,25,Low,Yes,Foggy,14.47,5382,94.8,20,232
2025-01-01 09:11:00,Route-200,Anand to Nadiad,Anand,Nadiad,176,Express,GJ-2-6264,386,44,63,8,High,Yes,Cloudy,21.32,4070,53.87,13,135
2025-01-01 09:01:00,Route-524,Anand to Nadiad,Anand,Nadiad,182,Luxury,GJ-3-9275,141,35,77,14,Low,Yes,Sunny,14.07,9857,67.34,14,184
2025-01-01 06:57:00,Route-426,Navsari to Valsad,Navsari,Valsad,141,Sleeper,GJ-16-3843,142,34,51,22,Medium,Yes,Foggy,15.31,14441,78.03,13,129
2025-01-01 10:35:00,Route-938,Porbandar to Veraval,Porbandar,Veraval,117,Local,GJ-11-4540,485,41,66,2,Medium,Yes,Sunny,12.29,14716,76.36,14,157
2025-01-01 08:05:00,Route-543,Navsari to Valsad,Navsari,Valsad,107,Sleeper,GJ-12-7473,236,31,62,17,Low,Yes,Sunny,17.74,4771,98.23,10,139
2025-01-01 07:15:00,Route-562,Amreli to Botad,Amreli,Botad,240,Sleeper,GJ-15-6698,369,30,48,12,Medium,No,Sunny,20.67,8487,73.03,16,67
2025-01-01 10:38:00,Route-284,Mehsana to Palanpur,Mehsana,Palanpur,294,Local,GJ-3-3793,444,45,55,29,Medium,No,Rainy,22.81,3302,65.17,12,85
2025-01-01 08:00:00,Route-309,Amreli to Botad,Amreli,Botad,211,Luxury,GJ-6-6452,216,36,43,13,Medium,Yes,Rainy,15.63,13663,92.75,10,184
2025-01-01 06:53:00,Route-588,Porbandar to Veraval,Porbandar,Veraval,295,AC,GJ-5-4875,453,34,57,24,Low,Yes,Foggy,20.58,14112,60.33,8,108
2025-01-01 08:42:00,Route-484,Mehsana to Palanpur,Mehsana,Palanpur,202,AC,GJ-13-3997,411,41,72,4,Low,No,Cloudy,12.68,6559,87.54,19,113
2025-01-01 07:17:00,Route-249,Jamnagar to Junagadh,Jamnagar,Junagadh,81,Luxury,GJ-5-6639,353,44,48,3,Low,No,Cloudy,17.64,13618,41.28,17,98
2025-01-01 08:35:00,Route-321,Bhuj to Gandhidham,Bhuj,Gandhidham,183,Local,GJ-4-4090,484,45,69,2,Medium,No,Foggy,19.71,11010,87.64,13,207
2025-01-01 09:10:00,Route-838,Ahmedabad to Vadodara,Ahmedabad,Vadodara,144,Local,GJ-14-8805,121,56,48,3,Medium,No,Rainy,13.84,5453,50.66,19,193
2025-01-01 07:15:00,Route-951,Amreli to Botad,Amreli,Botad,118,Express,GJ-12-5818,283,37,55,27,Medium,Yes,Sunny,22.84,6228,68.13,6,100
2025-01-01 09:22:00,Route-463,Jamnagar to Junagadh,Jamnagar,Junagadh,207,Express,GJ-13-7311,190,34,59,21,Medium,No,Rainy,16.68,12472,65.14,8,93
2025-01-01 09:37:00,Route-765,Porbandar to Veraval,Porbandar,Veraval,206,Luxury,GJ-14-7933,93,50,68,23,Medium,Yes,Foggy,21.57,2916,55.15,9,120
2025-01-01 06:52:00,Route-555,Gandhinagar to Bhavnagar,Gandhinagar,Bhavnagar,155,Local,GJ-9-2032,286,49,61,11,High,No,Sunny,12.63,8561,49.16,11,147
2025-01-01 07:38:00,Route-967,Bhuj to Gandhidham,Bhuj,Gandhidham,96,Express,GJ-7-2172,268,59,52,23,High,Yes,Sunny,15.4,10160,73.78,10,215
2025-01-01 08:19:00,Route-794,Anand to Nadiad,Anand,Nadiad,154,Luxury,GJ-4-8524,338,59,78,19,Medium,Yes,Rainy,13.56,11987,52.38,5,155
2025-01-01 08:13:00,Route-501,Anand to Nadiad,Anand,Nadiad,140,AC,GJ-13-5045,366,50,62,11,Medium,Yes,Foggy,11.41,14183,54.61,5,111
2025-01-01 09:19:00,Route-885,Mehsana to Palanpur,Mehsana,Palanpur,180,Local,GJ-11-6995,366,60,79,30,High,No,Rainy,18.19,4751,64.91,20,111
2025-01-01 06:40:00,Route-495,Gandhinagar to Bhavnagar,Gandhinagar,Bhavnagar,176,Local,GJ-12-5447,255,33,55,26,Low,Yes,Sunny,17.9,14090,95.86,16,60
2025-01-01 07:38:00,Route-734,Amreli to Botad,Amreli,Botad,53,Local,GJ-12-3315,292,34,49,19,Low,Yes,Cloudy,18.34,4343,93.3,17,172
2025-01-01 07:34:00,Route-333,Surat to Rajkot,Surat,Rajkot,187,AC,GJ-16-5248,237,24,77,20,High,Yes,Foggy,11.63,7614,69.2,14,96
2025-01-01 08:32:00,Route-736,Surat to Rajkot,Surat,Rajkot,287,Sleeper,GJ-10-8944,96,44,63,7,Low,Yes,Rainy,15.24,6065,77.08,15,153
2025-01-01 06:51:00,Route-105,Surat to Rajkot,Surat,Rajkot,167,AC,GJ-7-2949,208,37,66,27,Low,Yes,Foggy,10.08,13833,94.18,16,174
2025-01-01 08:14:00,Route-588,Amreli to Botad,Amreli,Botad,199,AC,GJ-1-7234,117,57,40,5,High,No,Cloudy,23.42,4046,99.97,9,113
2025-01-01 10:55:00,Route-241,Navsari to Valsad,Navsari,Valsad,276,Luxury,GJ-14-1423,305,58,68,22,Medium,Yes,Rainy,15.04,14228,75.32,20,180
2025-01-01 08:51:00,Route-754,Navsari to Valsad,Navsari,Valsad,180,Sleeper,GJ-5-6773,419,58,46,5,Low,No,Sunny,14.78,11289,86.14,7,168
2025-01-01 10:23:00,Route-773,Porbandar to Veraval,Porbandar,Veraval,241,Luxury,GJ-13-3138,208,35,40,13,Low,Yes,Foggy,22.06,14198,82.02,15,103
2025-01-01 07:16:00,Route-906,Mehsana to Palanpur,Mehsana,Palanpur,151,AC,GJ-12-8740,158,20,53,18,Medium,No,Foggy,10.34,10189,83.88,8,122
2025-01-01 09:49:00,Route-968,Porbandar to Veraval,Porbandar,Veraval,86,Local,GJ-13-7699,182,37,52,14,Low,Yes,Sunny,11.99,9215,45.97,14,173
2025-01-01 08:59:00,Route-725,Porbandar to Veraval,Porbandar,Veraval,213,Local,GJ-7-1054,312,41,50,28,High,No,Rainy,22.75,8840,40.69,10,224
2025-01-01 10:13:00,Route-723,Navsari to Valsad,Navsari,Valsad,102,Local,GJ-1-9071,91,40,57,25,High,Yes,Foggy,22.07,3685,93.24,12,146
2025-01-01 08:00:00,Route-716,Mehsana to Palanpur,Mehsana,Palanpur,298,Luxury,GJ-2-8522,480,56,70,20,Low,No,Foggy,19.77,8631,83.57,12,215
2025-01-01 09:54:00,Route-343,Jamnagar to Junagadh,Jamnagar,Junagadh,145,AC,GJ-9-6035,462,42,60,17,Low,No,Foggy,17.95,13575,74.98,18,131
2025-01-01 08:28:00,Route-646,Gandhinagar to Bhavnagar,Gandhinagar,Bhavnagar,283,Express,GJ-10-7625,429,53,69,8,Medium,Yes,Foggy,23.06,7310,83.41,18,213
2025-01-01 06:26:00,Route-249,Amreli to Botad,Amreli,Botad,224,Express,GJ-13-6278,386,54,61,5,High,No,Sunny,16.9,10502,50.06,10,222
2025-01-01 10:09:00,Route-533,Anand to Nadiad,Anand,Nadiad,247,Local,GJ-12-2366,403,59,63,17,Low,Yes,Foggy,20.87,6349,94.41,5,227
2025-01-01 08:02:00,Route-539,Amreli to Botad,Amreli,Botad,285,Local,GJ-7-2910,149,40,59,1,Medium,Yes,Sunny,23.63,5942,82.7,15,151
2025-01-01 07:50:00,Route-104,Surat to Rajkot,Surat,Rajkot,74,AC,GJ-16-5891,261,44,76,29,Medium,Yes,Foggy,13.19,9959,48.29,9,130
2025-01-01 09:43:00,Route-689,Mehsana to Palanpur,Mehsana,Palanpur,187,Local,GJ-10-1050,81,45,72,0,High,Yes,Cloudy,19.87,12990,62.79,20,144
2025-01-01 08:49:00,Route-276,Surat to Rajkot,Surat,Rajkot,254,Express,GJ-2-7770,308,46,70,28,High,Yes,Cloudy,18.46,14132,48.79,11,89
2025-01-01 10:13:00,Route-480,Amreli to Botad,Amreli,Botad,190,Luxury,GJ-8-8891,428,51,41,0,High,Yes,Cloudy,19.72,2883,50.85,11,108
2025-01-01 06:31:00,Route-822,Surat to Rajkot,Surat,Rajkot,154,Sleeper,GJ-7-8444,202,54,43,2,High,Yes,Foggy,14.22,2450,88.96,13,221
2025-01-01 07:03:00,Route-218,Navsari to Valsad,Navsari,Valsad,125,Sleeper,GJ-13-2794,362,57,52,26,High,No,Foggy,10.14,4544,81.54,16,201
2025-01-01 10:04:00,Route-125,Ahmedabad to Vadodara,Ahmedabad,Vadodara,284,Local,GJ-2-2741,400,51,56,16,Medium,No,Cloudy,17.19,5324,92.38,16,125
2025-01-01 08:05:00,Route-369,Navsari to Valsad,Navsari,Valsad,207,AC,GJ-16-4854,413,24,64,17,Low,Yes,Rainy,21.63,11352,90.36,14,125
2025-01-01 08:36:00,Route-779,Ahmedabad to Vadodara,Ahmedabad,Vadodara,284,AC,GJ-14-4830,429,59,57,7,Medium,No,Foggy,21.87,13293,57.51,8,163
2025-01-01 07:59:00,Route-227,Navsari to Valsad,Navsari,Valsad,82,Local,GJ-15-9263,136,50,66,11,Low,No,Rainy,14.06,14684,73.43,19,173
2025-01-01 09:01:00,Route-172,Jamnagar to Junagadh,Jamnagar,Junagadh,164,Local,GJ-5-6841,257,45,49,2,High,No,Sunny,23.31,7004,89.35,10,81
2025-01-01 09:17:00,Route-447,Porbandar to Veraval,Porbandar,Veraval,164,Local,GJ-16-9568,308,57,77,7,High,No,Sunny,15.03,4770,87.4,5,240
2025-01-01 07:22:00,Route-464,Ahmedabad to Vadodara,Ahmedabad,Vadodara,234,AC,GJ-7-4372,446,43,44,17,High,No,Foggy,24.95,7941,73.09,7,133
