Account_ID,Client_Name,Balance,date,Account_Type,Revenue,Expenses,Net_Profit,Fund_Allocated,Department
239,Alpha Corp,638709,2024-03-11,Checking,675698,572260,103438,206441,Finance
240,Delta LLC,449327,2024-09-22,Checking,606742,720295,-113553,233258,HR
241,GSRTC HR,656193,2024-03-24,Checking,695970,190081,505889,799823,Operations
242,GSRTC Operations,34869,2024-10-16,Business,584117,513010,71107,494523,Traffic
243,Foxtrot Ventures,530273,2024-12-10,Business,283562,261504,22058,1124860,Finance
244,GSRTC HR,150285,2024-09-17,Savings,877911,577323,300588,1251541,Operations
245,Gamma Ltd,312939,2024-07-10,Checking,650030,148143,501887,1320487,Stores
246,Foxtrot Ventures,902317,2024-07-19,Corporate,711765,85788,625977,1237104,Traffic
247,GSRTC HR,629979,2024-02-03,Corporate,978225,771501,206724,551545,Purchases
248,GSRTC Stores,21195,2024-10-07,Savings,754699,393714,360985,900813,HR
249,Alpha Corp,739224,2024-08-04,Checking,619678,790604,-170926,1234719,Finance
250,Gamma Ltd,820440,2024-07-31,Savings,197861,373799,-175938,431483,Operations
251,Alpha Corp,800283,2024-10-10,Checking,998187,500248,497939,173462,HR
252,Alpha Corp,230214,2024-01-05,Savings,827342,857990,-30648,1086101,Stores
253,GSRTC Stores,983059,2024-06-13,Business,911527,542418,369109,974099,Purchases
254,GSRTC Operations,355327,2024-07-16,Corporate,720573,730066,-9493,577952,Operations
255,Gamma Ltd,179728,2024-08-07,Checking,903338,827804,75534,133601,Operations
256,GSRTC Operations,339461,2024-07-28,Savings,135638,131980,3658,753152,Finance
257,GSRTC Operations,232442,2024-04-11,Business,890325,735936,154389,774806,Traffic
258,Beta Inc,397753,2024-09-14,Checking,890758,209977,680781,887339,Operations
259,Delta LLC,857320,2024-01-19,Business,354311,261350,92961,1055112,Stores
260,Epsilon PLC,828295,2024-02-16,Business,955063,284333,670730,1268154,Operations
261,GSRTC HR,766763,2024-10-27,Corporate,276393,858447,-582054,1207674,Stores
262,Epsilon PLC,230279,2024-10-31,Checking,751368,84067,667301,1257946,Stores
263,Alpha Corp,846493,2024-09-13,Business,581815,666444,-84629,331129,Workshop
264,Epsilon PLC,868715,2024-09-23,Checking,185530,355662,-170132,1228145,Purchases
265,GSRTC Stores,792216,2024-01-01,Corporate,471191,618496,-147305,360109,Traffic
266,Delta LLC,871185,2024-01-28,Business,242739,577264,-334525,686234,Finance
267,Alpha Corp,747114,2024-05-10,Savings,670344,763652,-93308,514399,Operations
268,GSRTC HR,874864,2024-10-25,Checking,837974,769026,68948,1306738,Operations
269,GSRTC HR,992670,2024-05-06,Business,166903,122076,44827,425529,Workshop
270,Alpha Corp,793322,2024-11-07,Corporate,281151,395984,-114833,1299151,Finance
271,Alpha Corp,656000,2024-08-09,Business,388643,390089,-1446,759149,Purchases
272,Beta Inc,728957,2024-03-01,Corporate,191617,67476,124141,228224,Stores
273,Beta Inc,770331,2024-12-26,Corporate,594431,220548,373883,1039576,Finance
274,GSRTC Stores,512348,2024-05-15,Checking,151558,799576,-648018,1326077,Stores
275,Gamma Ltd,827307,2024-08-07,Business,397926,240865,157061,1370574,Traffic
276,GSRTC Operations,688159,2024-11-02,Checking,246704,251171,-4467,1122082,HR
277,Epsilon PLC,962450,2024-10-05,Corporate,150927,300996,-150069,935317,Workshop
278,Delta LLC,803726,2024-05-05,Checking,786755,308289,478466,130414,Purchases
279,Beta Inc,911470,2024-04-12,Corporate,703716,421432,282284,1420923,Finance
280,Foxtrot Ventures,52018,2024-08-13,Checking,718656,606770,111886,582520,Purchases
281,Delta LLC,71045,2024-12-16,Corporate,287689,295417,-7728,1436014,Stores
282,Alpha Corp,783819,2024-11-13,Checking,812809,627738,185071,988475,Operations
283,Gamma Ltd,12306,2024-08-17,Savings,268569,132121,136448,1251772,HR
284,GSRTC HR,891213,2024-05-21,Checking,222731,118657,104074,1330672,Finance
285,Epsilon PLC,766104,2024-10-23,Corporate,313490,737812,-424322,643455,Traffic
286,GSRTC Finance,728891,2024-02-26,Corporate,562321,504373,57948,247205,Purchases
287,GSRTC Stores,412910,2024-12-20,Business,568924,535217,33707,965921,Purchases
288,Beta Inc,249490,2024-10-15,Corporate,498341,187426,310915,815652,Purchases
289,Beta Inc,699730,2024-11-13,Business,85616,866075,-780459,376138,HR
290,Alpha Corp,396846,2024-05-23,Corporate,532438,680856,-148418,1204656,Traffic
291,GSRTC Finance,322079,2024-11-22,Savings,544210,198834,345376,730654,Finance
292,GSRTC HR,569441,2024-09-14,Savings,830329,491824,338505,1266488,Workshop
293,Beta Inc,414241,2024-07-25,Checking,253401,557741,-304340,445426,Operations
294,Delta LLC,657273,2024-02-15,Corporate,511953,746403,-234450,635497,Operations
295,GSRTC Finance,25528,2024-05-14,Checking,179952,647870,-467918,327533,Traffic
296,Alpha Corp,455454,2024-01-25,Corporate,377847,705705,-327858,1085899,Finance
297,Foxtrot Ventures,647050,2024-12-24,Savings,329608,60319,269289,154491,Purchases
298,Beta Inc,720841,2024-04-08,Corporate,980539,508851,471688,687043,HR
299,Beta Inc,340714,2024-12-10,Business,95080,516252,-421172,700479,Traffic
300,Foxtrot Ventures,825319,2024-04-08,Business,747897,522388,225509,441754,Finance
